IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150098420,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,02-01-15,17:10,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.4136093,37.78469691,"(37.784696907904, -122.413609328985)",1.50098E+13
150098420,WEAPON LAWS,POSS OF TEAR GAS WEAPON,Sunday,02-01-15,17:10,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.4136093,37.78469691,"(37.784696907904, -122.413609328985)",1.50098E+13
150098436,NON-CRIMINAL,LOST PROPERTY,Sunday,02-01-15,17:00,BAYVIEW,NONE,20TH ST / 3RD ST,-122.3885594,37.76049292,"(37.7604929243617, -122.388559411328)",1.50098E+13
150098442,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,02-01-15,17:38,TENDERLOIN,"ARREST, BOOKED",MARKET ST / 8TH ST,-122.4147438,37.77871926,"(37.778719262789, -122.414743835382)",1.50098E+13
150098458,ASSAULT,BATTERY OF A POLICE OFFICER,Sunday,02-01-15,16:56,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.4195204,37.76422894,"(37.764228935718, -122.419520367886)",1.50098E+13
140009459,ARSON,ARSON,Saturday,01-04-14,03:52,NORTHERN,"ARREST, BOOKED",SACRAMENTO ST / POLK ST,-122.4208746,37.79149431,"(37.7914943051906, -122.420874632415)",1.40009E+13
150098458,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,02-01-15,16:56,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.4195204,37.76422894,"(37.764228935718, -122.419520367886)",1.50098E+13
150098458,OTHER OFFENSES,RESISTING ARREST,Sunday,02-01-15,16:56,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.4195204,37.76422894,"(37.764228935718, -122.419520367886)",1.50098E+13
150098464,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02-01-15,11:45,NORTHERN,NONE,GROVE ST / VANNESS AV,-122.4198849,37.77825108,"(37.7782510832412, -122.419884939457)",1.50098E+13
150098470,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,01/30/2015,22:00,PARK,NONE,0 Block of CRESTLINE DR,-122.446484,37.75013019,"(37.7501301863303, -122.446483988175)",1.50098E+13
150098486,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,02-01-15,17:45,RICHMOND,"ARREST, BOOKED",2ND AV / CABRILLO ST,-122.4595896,37.77556506,"(37.7755650573942, -122.459589572197)",1.50098E+13
